384	122385	before
385	122167	order
386	121994	union
387	121511	later
388	121342	quite
389	121077	story
390	120926	appear
391	120693	football
392	120525	only
393	119322	open
394	118540	kind
395	118514	news
396	118163	among
397	117885	together
398	117490	mother
399	117286	road
400	117149	international
401	116878	er
402	116468	read
403	116408	himself
404	116337	star
405	115903	speak
406	115512	letter
407	115236	director
408	115069	involve
409	114633	third
410	114577	tax
411	114385	consider
412	113833	face
413	113506	able
414	113394	film
415	113338	cost
416	113304	form
417	112793	eye
418	112563	other
419	112214	centre
420	111996	food
421	111823	example
422	111773	university
423	111731	chance
424	111479	break
425	111422	action
426	111280	decision
427	111280	several
428	111220	anything
429	110937	community
430	110836	bit
431	110267	top
432	109615	industry
433	109599	death
434	109480	die
435	109361	health
436	109334	stop
437	109319	manager
438	108723	d
439	108699	student
440	108414	sit
441	108318	girl
442	108254	receive
443	107965	investment
444	107725	these
445	107041	produce
446	106950	decide
447	106390	claim
448	106320	hope
449	106139	carry
450	106138	oh
451	106092	return
452	106020	er
453	105999	social
454	105674	record
455	105652	age
456	105447	reason
457	104773	base
458	104743	europe
459	104320	america
460	104138	learn
461	103914	behind
462	103870	economic
463	103722	short
464	103617	far
465	103303	strong
466	103300	york
467	103208	music
468	103141	build
469	102902	cut
470	102823	goal
471	102792	create
472	102541	possible
473	102529	boy
474	102298	past
475	102092	sun
476	101538	increase
477	101306	b
478	101144	probably
479	100913	value
480	100120	perhaps
481	100004	end
482	99792	art
483	99585	view
484	99124	air
485	98838	meeting
486	98739	sort
487	98232	event
488	98078	father
489	97957	effect
490	97915	nation
491	97872	new
492	97586	develop
493	97192	suggest
494	97067	parent
495	97035	plan
496	96926	century
497	96883	love
498	96837	love
499	96656	east
500	96356	since
501	96262	kill
502	96085	clear
503	95945	test
504	95808	moment
505	95807	stay
506	95405	society
507	95260	agree
508	95161	sale
509	95095	position
510	94875	morning
511	94859	along
512	94744	june
513	94668	show
514	94658	reach
515	94312	page
516	94251	bill
517	94172	town
518	94132	drug
519	93836	council
520	93830	french
521	93534	much
522	93462	half
523	93423	final
524	93416	park
525	93023	special
526	92861	across
527	92776	likely
528	92724	election
529	92562	financial
530	92409	development
531	92382	seven
532	92303	major
533	92090	easy
534	91982	soviet
535	91959	join
536	91930	watch
